X;ac;al;am;ap;ba;ce;df;es;go;ma;mt;ms;mg;pa;pb;pr;pe;pi;rn;rs;rj;ro;rr;sc;sp;se;to;destino
ac;19.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
al;12.00;20.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
am;12.00;12.00;20.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
ap;12.00;12.00;12.00;18.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
ba;12.00;12.00;12.00;12.00;20.50;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
ce;12.00;12.00;12.00;12.00;12.00;20.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
df;12.00;12.00;12.00;12.00;12.00;12.00;20.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
es;12.00;12.00;12.00;12.00;12.00;12.00;12.00;17.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
go;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;19.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
ma;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;23.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
mt;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;17.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
ms;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;17.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
mg;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;18.00;7.00;7.00;12.00;7.00;7.00;7.00;12.00;12.00;7.00;7.00;12.00;12.00;7.00;7.00;
pa;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;19.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
pb;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;20.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
pr;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;12.00;7.00;7.00;19.50;7.00;7.00;7.00;12.00;12.00;7.00;7.00;12.00;12.00;7.00;7.00;
pe;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;20.50;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
pi;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;22.50;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
rn;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;20.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;
rs;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;12.00;7.00;7.00;12.00;7.00;7.00;7.00;17.00;12.00;7.00;7.00;12.00;12.00;7.00;7.00;
rj;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;12.00;7.00;7.00;12.00;7.00;7.00;7.00;12.00;22.00;7.00;7.00;12.00;12.00;7.00;7.00;
ro;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;19.50;12.00;12.00;12.00;12.00;12.00;
rr;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;20.00;12.00;12.00;12.00;12.00;
sc;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;12.00;7.00;7.00;12.00;7.00;7.00;7.00;12.00;12.00;7.00;7.00;17.00;12.00;7.00;7.00;
sp;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;7.00;12.00;7.00;7.00;12.00;7.00;7.00;7.00;12.00;12.00;7.00;7.00;12.00;18.00;7.00;7.00;
se;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;20.00;12.00;
to;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;12.00;20.00;
origem;;;;;;;;;;;;;;;;;;;;;;;;;;;;
